,n_startpop_5564,n_startpop_6574,n_startpop_65p,n_startpop_7584,n_startpop_85p,n_startpop_all,n_startpop_blk,n_startpop_college,n_startpop_f,n_startpop_his,n_startpop_his_f,n_startpop_hsless,n_startpop_m,n_startpop_wht,p_cogstate1_5564,p_cogstate1_6574,p_cogstate1_65p,p_cogstate1_7584,p_cogstate1_85p,p_cogstate1_all,p_cogstate1_blk,p_cogstate1_f,p_cogstate1_his,p_cogstate1_m,p_cogstate1_wht,n_cogstate1_5564,n_cogstate1_6574,n_cogstate1_65p,n_cogstate1_7584,n_cogstate1_85p,n_cogstate1_Age55l,n_cogstate1_all,n_cogstate1_blk,n_cogstate1_f,n_cogstate1_his,n_cogstate1_m,n_cogstate1_wht,p_cogstate2_5564,p_cogstate2_6574,p_cogstate2_65p,p_cogstate2_7584,p_cogstate2_85p,p_cogstate2_all,p_cogstate2_blk,p_cogstate2_college,p_cogstate2_f,p_cogstate2_his,p_cogstate2_his_f,p_cogstate2_hsless,p_cogstate2_m,p_cogstate2_wht,n_cogstate2_5564,n_cogstate2_6574,n_cogstate2_65p,n_cogstate2_7584,n_cogstate2_85p,n_cogstate2_all,n_cogstate2_blk,n_cogstate2_college,n_cogstate2_f,n_cogstate2_his,n_cogstate2_his_f,n_cogstate2_hsless,n_cogstate2_m,n_cogstate2_wht,n_nhmliv_dem_5564,n_nhmliv_dem_6574,n_nhmliv_dem_65p,n_nhmliv_dem_7584,n_nhmliv_dem_85p,n_nhmliv_dem_Age55l,n_nhmliv_dem_all,n_nhmliv_dem_blk,n_nhmliv_dem_f,n_nhmliv_dem_his,n_nhmliv_dem_m,n_nhmliv_dem_wht,s_helphoursyr_dem_5564,s_helphoursyr_dem_6574,s_helphoursyr_dem_65p,s_helphoursyr_dem_7584,s_helphoursyr_dem_85p,s_helphoursyr_dem_Age55l,s_helphoursyr_dem_all,s_helphoursyr_dem_blk,s_helphoursyr_dem_f,s_helphoursyr_dem_his,s_helphoursyr_dem_m,s_helphoursyr_dem_wht,t_totmd_dem_5564,t_totmd_dem_6574,t_totmd_dem_65p,t_totmd_dem_7584,t_totmd_dem_85p,t_totmd_dem_Age55l,t_totmd_dem_all,t_totmd_dem_blk,t_totmd_dem_f,t_totmd_dem_his,t_totmd_dem_m,t_totmd_dem_wht,t_mcare_dem_5564,t_mcare_dem_6574,t_mcare_dem_65p,t_mcare_dem_7584,t_mcare_dem_85p,t_mcare_dem_Age55l,t_mcare_dem_all,t_mcare_dem_blk,t_mcare_dem_f,t_mcare_dem_his,t_mcare_dem_m,t_mcare_dem_wht,t_caidmd_dem_5564,t_caidmd_dem_6574,t_caidmd_dem_65p,t_caidmd_dem_7584,t_caidmd_dem_85p,t_caidmd_dem_Age55l,t_caidmd_dem_all,t_caidmd_dem_blk,t_caidmd_dem_f,t_caidmd_dem_his,t_caidmd_dem_m,t_caidmd_dem_wht,t_oopmd_dem_5564,t_oopmd_dem_6574,t_oopmd_dem_65p,t_oopmd_dem_7584,t_oopmd_dem_85p,t_oopmd_dem_Age55l,t_oopmd_dem_all,t_oopmd_dem_blk,t_oopmd_dem_f,t_oopmd_dem_his,t_oopmd_dem_m,t_oopmd_dem_wht,qaly_loss_plwd_5564,qaly_loss_plwd_6574,qaly_loss_plwd_65p,qaly_loss_plwd_7584,qaly_loss_plwd_85p,qaly_loss_plwd_Age55l,qaly_loss_plwd_all,qaly_loss_plwd_blk,qaly_loss_plwd_f,qaly_loss_plwd_his,qaly_loss_plwd_m,qaly_loss_plwd_wht,earnings_loss_plwd_5564,earnings_loss_plwd_6574,earnings_loss_plwd_65p,earnings_loss_plwd_7584,earnings_loss_plwd_85p,earnings_loss_plwd_Age55l,earnings_loss_plwd_all,earnings_loss_plwd_blk,earnings_loss_plwd_f,earnings_loss_plwd_his,earnings_loss_plwd_m,earnings_loss_plwd_wht
16.year_inc#c.ivparm1,-0.005,-9010.4,-358298.7,-83255.1,-266033.2,-358298.7,-87384.4,-94531.0,-195250.8,-105762.5,-56509.4,-135754.5,-163047.9,-165151.8,-1.64e-14,-0.00161,-0.0063,-0.0172,-0.0369,-0.00262,0.0026100000000000003,-0.00316,0.0015,-0.00201,-0.00513,1.17e-06,-81882.1,-53292.7,-257359.1,285947.0,4.13e-08,-53293.3,128531.7,-57317.2,235106.3,4025.3,-416931.0,-5.04e-11,0.00409,0.0125,0.0254,0.0535,0.0063100000000000005,0.00315,0.00389,0.00658,0.0050100000000000006,0.00943,0.0135,0.00599,0.00785,-0.0026,170778.6,549451.8,494469.6,-115796.5,549451.8,-51990.9,205533.1,303515.7,-93593.2,1295.8,54866.0,245936.1,695036.0,-1.93e-08,-43.75,166174.8,20176.7,146040.5,-3.3799999999999995e-09,166173.5,39236.6,83013.9,50846.0,83160.9,76087.8,348874.6,-81030723.5,645831071.6,-317737103.2,1044600000.0,0.00010700000000000001,646180077.1,332849444.0,478947296.8,471558360.0,167232754.8,-158227642.4,-13379.2,-3150180000.0,8601090000.0,-6757080000.0,18508300000.0,0.00182,8601080000.0,7439060000.0,2385300000.0,11558800000.0,6215770000.0,-10396800000.0,176220.2,-1844400000.0,926962301.7,-4260320000.0,7031680000.0,-0.00041900000000000005,927137264.1,3683060000.0,-244290567.4,5022290000.0,1171430000.0,-7778210000.0,-1845908.3,333692713.1,10241200000.0,2078380000.0,7829150000.0,0.0036299999999999995,10239400000.0,3170170000.0,4656140000.0,4551550000.0,5583230000.0,2517660000.0,-125066.3,-721134811.5,2777510000.0,-1451520000.0,4950170000.0,0.00103,2777390000.0,1556100000.0,1060760000.0,2475350000.0,1716630000.0,-1254060000.0,73693743.4,3273740000.0,40793200000.0,13991200000.0,23528200000.0,0.00242,40866900000.0,10217400000.0,21204200000.0,13472700000.0,19662700000.0,17176800000.0,-15154793.1,-272202330.3,674068184.7,808863712.2,137406726.8,-0.0035600000000000002,658913176.9,140868120.0,-147905943.5,55654106.6,806819498.1,462391205.3
18.year_inc#c.ivparm1,-0.00361,-10833.9,-390821.9,-76081.0,-303906.9,-390821.9,-96482.4,-124284.1,-213395.7,-102774.9,-51957.7,-145606.3,-177426.2,-191564.6,-1.71e-14,-0.000396,-0.00235,-0.0139,-0.0289,-0.000446,0.00295,-0.000908,0.00435,7.7e-05,-0.003,1.27e-06,-38275.1,300102.5,-165033.5,503407.4,-1.34e-07,300102.9,149073.8,136752.3,344268.3,163350.4,-193237.8,-1.74e-11,0.0030800000000000003,0.00759,0.0208,0.0431,0.00355,0.00205,0.000601,0.00385,0.00244,0.00447,0.0106,0.0032,0.00489,-0.00109,134514.8,112174.0,365444.9,-387785.7,112174.0,-85011.5,-88288.3,73837.8,-186151.6,-76603.8,-21471.4,38336.2,383337.1,-5.3600000000000005e-09,713.8,234872.9,24581.1,209578.1,-2.9600000000000005e-09,234874.2,34735.2,145582.9,65496.6,89290.1,134636.9,156430.9,-88120057.1,794403515.6,-91738397.0,974262161.3,0.000173,794560144.2,229639842.5,617955741.5,577053072.0,176604441.6,-12132807.6,-133950.9,-1569880000.0,26021800000.0,-2598320000.0,30190000000.0,0.00114,26021700000.0,8122110000.0,13178700000.0,17228400000.0,12843000000.0,671172147.6,0.000103,-1152950000.0,9701420000.0,-1725180000.0,12579500000.0,-0.00038500000000000003,9701420000.0,4393560000.0,4329680000.0,8443520000.0,5371740000.0,-3135670000.0,-538357.5,1053430000.0,13129100000.0,1747710000.0,10328000000.0,0.00365,13128600000.0,2381310000.0,7550560000.0,6344530000.0,5578020000.0,4402730000.0,-61680.0,-388127172.2,6700710000.0,-711859684.3,7800700000.0,0.0009660000000000001,6700650000.0,1583030000.0,3862750000.0,3451060000.0,2837900000.0,1666550000.0,92528988.3,3754210000.0,44134300000.0,13237900000.0,27142200000.0,0.0022199999999999998,44226900000.0,11013600000.0,23233100000.0,14573400000.0,20993800000.0,18639900000.0,-18768529.6,160576307.8,331859068.9,-31275507.5,202558075.1,-0.00366,313090396.4,84096364.5,194319792.2,206836001.5,118770599.5,22157834.3
20.year_inc#c.ivparm1,-0.0012699999999999999,-9413.9,-418389.2,-88605.7,-320369.6,-418389.2,-103660.7,-137870.9,-237004.0,-120475.6,-67629.4,-145749.4,-181385.2,-194252.9,-1.97e-14,0.00028399999999999996,-0.0015300000000000001,-0.0147,-0.0275,9.15e-06,0.0009660000000000001,-0.000381,0.00745,0.00045099999999999996,-0.00303,1.21e-06,-11471.8,399543.9,-192559.3,603572.9,3.87e-08,399542.7,125678.5,195773.4,466774.8,203772.0,-192910.6,1.02e-13,0.00299,0.00719,0.0218,0.0421,0.0033399999999999997,0.00518,0.00164,0.00358,-0.0016600000000000002,0.000323,0.00773,0.0030600000000000002,0.0053100000000000005,-0.00011599999999999999,129307.5,49298.0,396198.8,-476208.4,49298.0,-41534.4,-6691.0,33846.1,-333510.8,-153456.9,-97143.9,15451.9,424343.2,-7.41e-09,-3953.9,209047.3,7950.5,205049.7,-3.6e-09,209047.0,39018.6,119275.4,46087.1,89770.2,123934.9,-0.0004940000000000001,-80507857.3,1049060000.0,-110078171.2,1239640000.0,9.89e-05,1049060000.0,254108169.8,617547188.0,751414433.4,431511747.3,43536372.7,27027.8,-1162220000.0,27075000000.0,-5662960000.0,33900200000.0,-0.00131,27075000000.0,7071820000.0,13936600000.0,19258800000.0,13138500000.0,744401898.9,355431.0,-1142440000.0,10136000000.0,-3558170000.0,14836600000.0,-0.000426,10136300000.0,3430550000.0,5311330000.0,9408350000.0,4825010000.0,-2702560000.0,552054.4,1366860000.0,11468200000.0,766600541.4,9334770000.0,0.0034799999999999996,11468800000.0,2985780000.0,6974610000.0,5088550000.0,4494170000.0,3394450000.0,-13904.9,-276157917.4,6612110000.0,-1385920000.0,8274180000.0,0.0008619999999999999,6612090000.0,1506590000.0,3618900000.0,3678020000.0,2993190000.0,1427480000.0,51391799.2,4220780000.0,46249200000.0,13159700000.0,28868700000.0,0.00221,46300600000.0,11198500000.0,23855300000.0,14951300000.0,22445300000.0,20150800000.0,5237407.9,288725216.6,1171120000.0,315809513.0,566586515.8,-0.00371,1176360000.0,80869367.2,223924762.1,565860810.1,952433507.4,529628205.4
22.year_inc#c.ivparm1,-0.0015300000000000001,-8916.3,-471130.5,-85473.9,-376740.3,-471130.5,-106161.8,-167844.0,-286199.2,-119180.4,-69133.8,-157492.1,-184931.3,-245788.3,-2.33e-14,-0.00125,-7.140000000000001e-05,-0.00976,-0.0268,0.00084,0.00375,0.000602,0.006679999999999999,0.0011099999999999999,-0.00227,1.16e-06,-59126.3,551079.6,-57637.6,667837.9,-4.63e-08,551079.7,184833.3,286597.0,480787.2,264481.9,-114539.8,-8.600000000000001e-13,0.00419,0.00547,0.0175,0.0406,0.00235,0.00109,3.14e-05,0.0025399999999999997,-1.47e-05,0.0044,0.00688,0.00212,0.004220000000000001,-0.00018700000000000002,167140.0,-131259.0,276036.9,-574435.9,-131259.0,-123619.4,-155947.8,-68428.7,-312915.9,-107337.2,-138124.1,-62830.3,305276.4,2.62e-09,-4050.9,225112.5,4461.6,224703.7,-3.37e-09,225112.2,56714.4,129817.7,53869.0,95294.3,114527.8,-0.000742,-54781942.5,1886280000.0,296573420.6,1644490000.0,0.000245,1886280000.0,479606254.7,1162100000.0,1086770000.0,724181196.8,319906521.3,89799.3,-2807450000.0,34266500000.0,-615997959.5,37689900000.0,0.000571,34266600000.0,11101700000.0,18596200000.0,19953800000.0,15670300000.0,3211030000.0,0.000537,-1804890000.0,15168300000.0,-137793460.0,17111000000.0,-0.00049,15168300000.0,5575290000.0,8079080000.0,10106400000.0,7089260000.0,-513390442.1,-3656000.8,783319955.3,13533400000.0,1759240000.0,10990800000.0,0.00298,13529700000.0,4102160000.0,8485260000.0,5995500000.0,5044480000.0,3432090000.0,-46200.3,-609874741.9,7683000000.0,-649514833.7,8942390000.0,0.0011099999999999999,7682960000.0,2287850000.0,4481230000.0,3769240000.0,3201730000.0,1625870000.0,55621992.4,3825610000.0,47489300000.0,13045200000.0,30618400000.0,0.0030600000000000002,47544900000.0,10952100000.0,24604100000.0,16130500000.0,22940800000.0,20462300000.0,1885123.4,626226637.3,1976130000.0,658862941.9,691044971.8,-0.0061200000000000004,1978020000.0,51405316.3,-103529756.1,630302042.3,2081550000.0,1296310000.0
24.year_inc#c.ivparm1,-0.0010199999999999999,-3103.9,-445088.9,-72174.0,-369811.0,-445088.9,-111245.3,-173405.0,-260494.2,-121123.9,-59683.4,-150732.3,-184594.7,-212719.8,-1.75e-14,-0.00103,-0.000299,-0.0124,-0.0248,0.000714,0.00245,0.00011399999999999999,0.006670000000000001,0.00139,-0.0023899999999999998,1.26e-06,-40867.2,560212.4,-146014.0,747091.2,-9.07e-08,560212.4,169691.2,261331.1,515757.1,298881.3,-125236.5,4.11e-12,0.00396,0.00585,0.0204,0.0388,0.00257,0.00277,3.48e-05,0.00292,-0.00035,0.00283,0.00609,0.00217,0.0045,9.379999999999999e-05,151537.0,-117505.4,373246.6,-642289.0,-117505.4,-102143.5,-160729.4,-45659.3,-351181.2,-142667.5,-175046.5,-71846.1,335819.3,-7.35e-09,3015.3,280655.6,5097.7,272541.4,-2.6800000000000003e-09,280655.4,47346.4,156734.4,46624.0,123917.9,186679.4,-0.000335,-20065495.8,1777500000.0,91316081.7,1706250000.0,8.46e-05,1777500000.0,501793217.9,994338505.9,1077210000.0,783161644.6,198497959.4,34267.1,-1612740000.0,38715600000.0,-3173210000.0,43501600000.0,0.00023799999999999998,38715600000.0,9534670000.0,19172500000.0,22037800000.0,19543100000.0,7143210000.0,2.58e-05,-1352870000.0,16309000000.0,-1823750000.0,19485700000.0,-0.000449,16309100000.0,4947400000.0,8019780000.0,11692500000.0,8289270000.0,-330875921.1,-0.00048499999999999997,1021260000.0,13488800000.0,1338310000.0,11129300000.0,0.0029100000000000003,13488800000.0,2917010000.0,7634650000.0,5596080000.0,5854190000.0,4975750000.0,-17626.9,-361705574.3,9253870000.0,-1106460000.0,10722000000.0,0.0009109999999999999,9253850000.0,1889890000.0,4789800000.0,3917740000.0,4464050000.0,3446230000.0,78034228.1,3605820000.0,47692300000.0,14116400000.0,29970100000.0,0.00235,47770300000.0,11202900000.0,25276000000.0,17112200000.0,22494300000.0,19455200000.0,7229228.9,810903334.8,1653330000.0,368876038.0,473547365.4,-0.00441,1660560000.0,295226735.5,-18329955.2,277688771.7,1678890000.0,1087640000.0
ivparm2,1.17e-06,-1.11e-05,-5.08e-05,-2.2800000000000002e-05,2.7000000000000002e-05,-0.000135,9.45e-06,8.82e-05,-3.63e-05,-2.48e-05,4.93e-06,3.01e-05,2.95e-05,-1.57e-05,1.68e-14,0.0049299999999999995,0.009059999999999999,0.0113,0.0211,0.00498,0.006529999999999999,0.0050799999999999994,0.00609,0.00487,0.00458,-1.07e-06,187117.8,629461.8,257061.7,185284.8,9.86e-08,629462.1,88908.9,341836.5,99632.3,287625.7,440919.6,2.02e-14,0.0655,0.0908,0.11800000000000001,0.13,0.05,0.0516,0.0452,0.0513,0.0426,0.0448,0.0542,0.0484,0.051,-3.39e-07,2487429.8,6311514.1,2680645.8,1143438.5,6311514.1,702459.3,3347215.3,3449862.0,696751.2,381811.3,780953.0,2861652.1,4912303.6,6.43e-09,170.2,14514.8,2697.0,11649.0,2.7800000000000003e-09,14515.5,1743.9,9583.2,437.3,4932.6,12337.9,0.000413,129332649.1,602368539.5,257151845.2,215883869.7,-9.27e-05,602368296.9,84911458.4,321295554.3,109341091.7,281072822.3,408115848.4,0.0178,7135340000.0,23208400000.0,8859390000.0,7213690000.0,-0.00015900000000000002,23208400000.0,3507580000.0,12475000000.0,3451380000.0,10733400000.0,16249500000.0,-9.14e-05,3070270000.0,12268600000.0,5073190000.0,4125130000.0,0.00043200000000000004,12268600000.0,1975440000.0,6653140000.0,1766330000.0,5615450000.0,8526820000.0,0.000532,863460774.4,2130860000.0,584551365.2,682842800.2,-0.00286,2130860000.0,455457189.9,1373500000.0,657349991.0,757358852.5,1018050000.0,-0.000942,1565960000.0,4698000000.0,1610640000.0,1521400000.0,-0.0008359999999999999,4698000000.0,640250011.4,2589260000.0,661339797.1,2108740000.0,3396410000.0,-1899071.3,23975400000.0,59771600000.0,25477900000.0,10318200000.0,-0.0020399999999999997,59769700000.0,6943580000.0,32859500000.0,7080770000.0,26910200000.0,45745300000.0,-0.00734,-0.0159,-0.0163,-0.0194,-0.00744,0.00396,-0.0638,-0.0139,-0.0197,-0.0146,-0.0203,0.00419
0.year_inc#c.ivparm2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.year_inc#c.ivparm2,4.02e-07,-5.69,-8.873,-3.0810000000000004,-0.10300000000000001,-8.873,-1.315,-3.3280000000000003,-6.08,-2.951,-2.875,-2.363,-2.793,-4.607,-1.48e-14,0.00201,0.00434,0.00447,0.0124,0.0026,0.00317,0.00281,0.00263,0.00236,0.0025,1.36e-06,81353.2,343468.8,127660.5,134454.3,-2.9199999999999997e-07,343468.8,45952.0,197609.3,53136.3,145858.9,244382.8,-1.87e-14,0.0234,0.0408,0.0496,0.083,0.0245,0.029,0.0212,0.0243,0.024,0.026,0.0308,0.0248,0.0241,7.07e-08,954251.6,3247720.9,1404150.8,889318.5,3247720.9,418833.5,1675634.9,1716224.0,469711.4,262889.0,461439.5,1531496.9,2359176.0,-4.55e-09,919.2,26263.5,11124.2,14218.9,-3.7200000000000004e-09,26264.7,1383.7,13227.4,3083.3,13035.4,21793.9,-0.000272,115549914.9,435516802.6,147828911.5,172138175.2,9.329999999999999e-05,435517005.7,57665682.9,258705477.1,101984206.6,176811484.5,275866949.4,-0.0197,3129830000.0,13213600000.0,4920460000.0,5163320000.0,-0.00078,13213600000.0,1775470000.0,7659770000.0,2053820000.0,5553850000.0,9384330000.0,0.000291,1250290000.0,6231250000.0,2271140000.0,2709820000.0,-0.00053,6231240000.0,933472886.7,3786780000.0,902989792.5,2444470000.0,4394780000.0,-0.000472,541029470.2,1902300000.0,728319594.7,632953478.9,0.0030800000000000003,1902300000.0,188502342.4,1036260000.0,613922981.8,866040805.5,1099880000.0,0.000837,678169351.1,2769540000.0,978313182.7,1113060000.0,0.000572,2769540000.0,302864195.0,1576610000.0,417522822.1,1192930000.0,2049150000.0,-31822102.8,15606700000.0,59572400000.0,26458700000.0,17507000000.0,0.0019,59540500000.0,7439340000.0,31790700000.0,7286440000.0,27749800000.0,44814700000.0,0.008579999999999999,1068340000.0,1907680000.0,789590690.9,49749923.4,-0.00394,1907680000.0,345347109.6,625903666.4,171442291.7,1281770000.0,1390890000.0
4.year_inc#c.ivparm2,-0.00059,-29262.6,-289160.1,-124859.0,-135038.4,-289160.1,-32198.8,-144821.9,-148524.5,-21813.0,-9840.3,-34077.1,-140635.6,-235148.2,-1.8e-14,0.00223,0.006670000000000001,0.007359999999999999,0.0208,0.00411,0.00629,0.0042899999999999995,0.0045899999999999995,0.00389,0.00366,1.26e-06,91928.3,551170.9,231543.4,227701.3,-1.47e-07,551172.0,92511.7,307328.5,99473.7,243843.0,359187.4,1.26e-12,0.0307,0.0623,0.0761,0.139,0.0386,0.0421,0.0348,0.0388,0.0367,0.0403,0.0434,0.0383,0.0385,-2.7e-07,1263333.3,5204180.6,2405546.1,1535301.2,5204180.6,625830.9,2809486.9,2798317.0,780131.2,441762.1,665349.6,2405863.6,3798218.5,-7.83e-09,1883.1,80317.1,23543.1,54890.7,-3.77e-09,80317.5,7743.0,49863.1,4687.4,30456.4,67884.0,-0.000522,45974327.0,575032132.6,185771098.0,343286937.9,8.6e-05,575032339.9,122328244.6,317472822.0,140029415.6,257559430.4,312674624.0,-22143.8,3517030000.0,23215600000.0,9099470000.0,10599100000.0,-6e-06,23215500000.0,4094700000.0,13191500000.0,3561570000.0,10024100000.0,15559300000.0,9.86e-05,1746600000.0,11021800000.0,4575410000.0,4699770000.0,-0.000488,11021800000.0,2419900000.0,6179860000.0,1914170000.0,4841920000.0,6687710000.0,-0.00107,656998896.4,4356840000.0,1198320000.0,2501520000.0,0.0027,4356840000.0,739304216.7,3276030000.0,767698536.7,1080810000.0,2849830000.0,11390.0,595535296.8,5044240000.0,1745150000.0,2703560000.0,0.000927,5044260000.0,653253452.1,2958130000.0,599074332.8,2086130000.0,3791930000.0,-15997439.7,26002500000.0,126153000000.0,58737000000.0,41413400000.0,0.00206,126137000000.0,15067400000.0,66757800000.0,16215900000.0,59379100000.0,94853500000.0,119399.2,1752700000.0,3585490000.0,1692780000.0,140003578.7,-0.00492,3585610000.0,672024071.2,734117733.2,358086195.6,2851490000.0,2555500000.0
6.year_inc#c.ivparm2,-0.00257,-62006.5,-680193.4,-249571.8,-368615.1,-680193.4,-71755.9,-348464.9,-346532.8,-64912.5,-30132.2,-88420.7,-333660.7,-543525.1,-1.71e-14,0.0021899999999999997,0.008190000000000001,0.00805,0.0271,0.00504,0.008159999999999999,0.00525,0.00512,0.00481,0.00451,8.04e-07,86662.0,692961.2,275107.8,331189.5,-1.34e-07,692960.8,123979.8,385417.4,122268.6,307546.2,446714.0,-1.64e-12,0.0372,0.0744,0.088,0.156,0.0461,0.0544,0.0417,0.0478,0.0472,0.0524,0.0553,0.0443,0.0449,-0.000288,1459644.0,6377418.2,2980374.2,1937400.0,6377418.2,834906.0,3466888.4,3533955.8,1079253.7,615649.2,871588.8,2843462.3,4463258.5,-3.11e-09,624.1,81909.5,10312.7,70974.6,-1.57e-09,81907.4,4473.6,50428.7,10309.6,31477.5,67120.4,-0.000624,55524796.3,763932797.0,248541709.9,459866459.6,-1.73e-05,763932907.6,164259664.1,495621105.4,201262966.4,268311693.2,398410214.7,-0.0206,3595310000.0,28782400000.0,10043600000.0,15143400000.0,0.000361,28782400000.0,5219680000.0,16012300000.0,4534330000.0,12770100000.0,19028400000.0,-0.000696,1870650000.0,14677100000.0,5637690000.0,7168790000.0,-0.000424,14677100000.0,3335140000.0,7877260000.0,2170120000.0,6799870000.0,9171870000.0,-0.00245,423528295.4,4958180000.0,1103790000.0,3430860000.0,0.00278,4958180000.0,850688936.4,3791950000.0,1063240000.0,1166230000.0,3044250000.0,0.000867,604414789.2,5920930000.0,1749890000.0,3566630000.0,0.00107,5920930000.0,782042329.1,3469780000.0,907199352.8,2451150000.0,4231680000.0,-65537054.4,31184000000.0,187910000000.0,85103400000.0,71622500000.0,0.00199,187844000000.0,23057300000.0,100054000000.0,25161300000.0,87790200000.0,139626000000.0,2873468.8,2286930000.0,6993180000.0,4178070000.0,528183464.0,-0.00426,6996050000.0,902981522.7,1712230000.0,1129130000.0,5283820000.0,4963940000.0
8.year_inc#c.ivparm2,-0.005220000000000001,-70198.5,-1136058.2,-404188.6,-661671.1,-1136058.2,-125776.6,-582988.9,-579493.6,-119984.3,-55261.5,-150235.2,-556564.6,-890297.3,-1.85e-14,0.0028699999999999997,0.0105,0.0097,0.0323,0.006409999999999999,0.0115,0.006659999999999999,0.006790000000000001,0.0061200000000000004,0.00548,1.06e-06,107033.7,894447.2,342302.0,445109.6,-1.33e-07,894445.1,177555.3,497418.6,170086.3,397027.3,546804.3,-2.79e-11,0.0384,0.0819,0.0956,0.166,0.0508,0.0604,0.0476,0.0522,0.0511,0.0548,0.0593,0.0493,0.0496,-0.00155,1433782.8,7179179.7,3405350.0,2340046.9,7179179.7,947901.9,4041329.1,3948971.4,1258668.9,693713.0,963119.7,3230208.3,4972608.9,-8.57e-09,1253.0,133515.6,20824.5,111437.7,-2.7399999999999996e-09,133516.0,9470.1,93913.1,13171.2,39601.6,110868.4,22598.2,81341247.7,1070060000.0,361358822.2,627355397.7,7.63e-05,1070080000.0,209614161.5,573175010.1,245136969.8,496903008.7,615326914.3,24314.3,4590890000.0,39010900000.0,12779000000.0,21641000000.0,-0.00022200000000000003,39010900000.0,7379610000.0,22696300000.0,6725540000.0,16314600000.0,24905700000.0,2.04e-06,2464610000.0,19088600000.0,6940440000.0,9683540000.0,-0.00043799999999999997,19088600000.0,4391900000.0,10816200000.0,3606080000.0,8272400000.0,11090600000.0,-0.000566,1033590000.0,8092580000.0,2332680000.0,4726310000.0,0.00302,8092580000.0,905595566.0,6170720000.0,2154580000.0,1921850000.0,5032400000.0,-12526.2,724037178.4,8371690000.0,2258050000.0,5389610000.0,0.0008759999999999999,8371680000.0,1222470000.0,5090710000.0,1183100000.0,3280980000.0,5966110000.0,-52864915.2,32755400000.0,242801000000.0,108927000000.0,101119000000.0,0.0020399999999999997,242748000000.0,30574100000.0,128836000000.0,34454400000.0,113912000000.0,177719000000.0,9287030.0,3757130000.0,9620480000.0,4954840000.0,908509782.2,-0.0047799999999999995,9629770000.0,1459700000.0,2083180000.0,1709950000.0,7546590000.0,6460120000.0
